"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"CSNK1G1",1542,1560,736,1679,2173,911
"CSNK1G2",1347,1854,1008,1795,2128,1010
"CSNK1G3",3462,3291,1635,4754,2414,1151
"CSNK2A1",2693,3534,1902,3007,6075,1717
"CSNK2A2",743,1241,673,1478,1914,958
"CSPG4",0,34,0,1,0,1
"CSPG5",1,24,1,0,4,0
"CSPP1",3371,3223,1848,2766,2799,1654
"CSRNP1",167,634,61,310,358,101
"CSRNP2",232,716,140,933,1229,464
"CSRNP3",12,12,6,4,3,0
"CSRP1",132,292,103,272,616,265
"CSRP2",18,11,13,15,10,15
"CSRP3",36,51,20,44,45,17
"CST7",17,34,29,55,135,37
"CSTF1",1410,2679,1633,2561,3260,2209
"CSTF2",184,690,211,805,871,537
"CSTF3",979,1230,668,1199,1395,688
"CTBP1",4120,4783,5352,4839,6379,4754
"CTBP2",56,110,41,69,99,48
"CTBS",410,509,844,474,543,810
"CTC1",313,864,170,1124,477,466
"CTCF",1057,1142,907,1196,1688,1025
"CTCFL",0,1,0,0,0,0
"CTDP1",4961,6155,3054,5223,6097,2628
"CTDSP1",126,749,247,593,830,684
"CTDSPL",5145,5355,4512,6245,5429,3066
"CTDSPL2",9816,11746,6330,10591,6912,3725
"CTH",167,173,143,128,220,110
"CTHRC1",65,99,69,112,85,70
"CTIF",111,45,161,318,241,405
"CTLA4",45,40,42,73,20,34
"CTNNA1",80,166,70,61,171,83
"CTNNA2",0,13,1,0,1,0
"CTNNA3",108,115,28,45,60,31
"CTNNAL1",2,17,4,11,13,7
"CTNNB1",867,819,457,1005,911,807
"CTNNBIP1",214,253,78,237,271,81
"CTNNBL1",14760,10682,9926,12420,11457,5153
"CTNND1",250,625,238,912,986,363
"CTNND2",0,21,0,0,0,0
"CTNS",500,423,380,374,710,313
"CTPS1",123,150,124,120,204,115
"CTPS2",1297,1187,593,1211,1515,517
"CTR9",2164,2053,1571,1952,2092,1315
